Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Exclude from Simulation,Exclude from Position Files,Footprint,Datasheet,Recommended Spec,Robu Purchase Link,Robu Resistor Link,Resistor Alternative
anlgLDO1,1,LP5907MFX-3.3_NOPB,,,,,${EXCLUDE_FROM_POS_FILES},analogLDO:SOT95P280X145-5N,,,,,
"C1,C2",2,4.7u,,,,,${EXCLUDE_FROM_POS_FILES},Capacitor_SMD:C_1206_3216Metric,,"10%, X7R, 50 V, 1206",https://robu.in/product/cl31b475kbhnnne-samsung-electro-mechanics-smd-multilayer-ceramic-capacitor-4-7-%C2%B5f-50-v-1206-pack-of-5/,,
C3,1,10u,,,,,${EXCLUDE_FROM_POS_FILES},Capacitor_SMD:C_1206_3216Metric,,"10%, X7R, 25 V, 1206",https://robu.in/product/tmk316b7106kl-td-taiyo-yuden-cap-smd-mlcc-10-%C2%B5f-25-v-1206-pack-of-1/,,
"C4,C5,C6,C7,C31,C33",6,1u,,,,,${EXCLUDE_FROM_POS_FILES},Capacitor_SMD:C_1206_3216Metric,,"10%, X7R, 25 V, 1206",https://robu.in/product/c1206c105k3ractu-kemet-smd-multilayer-ceramic-capacitor-1-%C2%B5f-25-v-1206-3216-metric-%C2%B1-10-x7r-c-series-kemet/,,
"C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C35,C36,C37,C38,C39",17,1n,,,,,${EXCLUDE_FROM_POS_FILES},Capacitor_SMD:C_1206_3216Metric,,"1%, C0G/NP0, 50 V, 1206 — Robu exact 1% 1206 listing not found; verify availability",https://robu.in/?s=1nF+1206+C0G+1%25&post_type=product,,
"C20,C22",2,10p,,,,,${EXCLUDE_FROM_POS_FILES},Capacitor_SMD:C_1206_3216Metric,,"1%, C0G/NP0, 50 V, 1206 — Robu exact 1% 1206 listing not found; verify availability",https://robu.in/?s=2.2pF+1206+C0G+1%25&post_type=product,,
"C21,C34,C40,C41",4,100n,,,,,${EXCLUDE_FROM_POS_FILES},Capacitor_SMD:C_1206_3216Metric,,"10%, X7R, 50 V, 1206",https://robu.in/?s=1206+100nF+50V+X7R&post_type=product,,
"C23,C29",2,680p,,,,,${EXCLUDE_FROM_POS_FILES},Capacitor_SMD:C_1206_3216Metric,,"1%, C0G/NP0, 50 V, 1206 — exact 1% 1206 not found; Robu has 5% 1206 C0G",https://robu.in/product/12065a821jat2a-kyocera-avx-smd-multilayer-ceramic-capacitor-820-pf-50-v-1206-3216-metric-%C2%B1-5-c0g-np0-avx-1206-mlcc/,,
"C24,C25,C26,C27,C28,C30",6,100p,,,,,${EXCLUDE_FROM_POS_FILES},Capacitor_SMD:C_1206_3216Metric,,"1%, C0G/NP0, 50 V, 1206 — exact 1% 1206 not found; Robu has 5% 1206 C0G",https://robu.in/product/c1206c101j5gactu-kemet-smd-multilayer-ceramic-capacitor-100-pf-50-v-1206-3216-metric-%C2%B1-5-c0g-np0-c-series-kemet/,,
C32,1,10n,,,,,${EXCLUDE_FROM_POS_FILES},Capacitor_SMD:C_1206_3216Metric,,"1%, C0G/NP0, 50 V, 1206 — Robu exact 1% 1206 listing not found; verify availability",https://robu.in/?s=10nF+1206+C0G+1%25&post_type=product,,
"D1,D2",2,P6KE13CA,,,,,${EXCLUDE_FROM_POS_FILES},TVSdiode:DIOAD1300W80L670D310,,,,,
"D3,D4,D5,D6,D7,D8,D9",7,LED,,,,,${EXCLUDE_FROM_POS_FILES},LED_SMD:LED_1206_3216Metric,,,,,
dcdciso1,1,RO-053.3S_HP,,,,,${EXCLUDE_FROM_POS_FILES},DCDCisolator:CONV_RO-053.3S_HP,,,,,
digildo1,1,AMS1117-3.3,,,,,${EXCLUDE_FROM_POS_FILES},digiLDO:SOT229P700X180-4N,,,,,
funcopamp1,1,NE5532DR,,,,,${EXCLUDE_FROM_POS_FILES},FuncOPAMP:SOIC127P599X175-8N,,,,,
J1,1,Conn_01x05,,,,,${EXCLUDE_FROM_POS_FILES},Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,,,,,
"J2,J3,J4,J5",4,Conn_Coaxial,,,,,${EXCLUDE_FROM_POS_FILES},Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,,,,,
J7,1,USB_A_Stacked,,,,,${EXCLUDE_FROM_POS_FILES},Connector_USB:USB_A_CUI_UJ2-ADH-TH_Horizontal_Stacked,,,,,
"J8,J9",2,Conn_01x20,,,,,${EXCLUDE_FROM_POS_FILES},Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical,,,,,
L1,1,6.8u,,,,,${EXCLUDE_FROM_POS_FILES},Inductor_THT:L_Axial_L11.0mm_D4.5mm_P15.24mm_Horizontal_Fastron_MECC,,,,,
probopamp1,1,TLV9064IPWT,,,,,${EXCLUDE_FROM_POS_FILES},probingopamp:SOP65P640X120-14N,,,,,
pwmoppamp1,1,TLV9054IPWR,,,,,${EXCLUDE_FROM_POS_FILES},pwmopamp:U_TSSOP_PW_TEX-M,https://www.ti.com/lit/gpn/tlv9054,,,,
R1,1,100,,,,,${EXCLUDE_FROM_POS_FILES},Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,"100 Ω, ±1%, THT metal film; keep THT footprint",,https://robu.in/?s=100+Ohm+0.25W+1%25+Metal+Film+Resistor&post_type=product,
