Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Exclude from Simulation,Exclude from Position Files,Footprint,Datasheet
anlgLDO1,1,LP5907MFX-3.3_NOPB,,,,,${EXCLUDE_FROM_POS_FILES},LP5907MFX-3.3_NOPB:SOT95P280X145-5N,
"C1,C2",2,4.7u,,,,,${EXCLUDE_FROM_POS_FILES},,
C3,1,10u,,,,,${EXCLUDE_FROM_POS_FILES},,
"C4,C5,C6,C7,C31,C33",6,1u,,,,,${EXCLUDE_FROM_POS_FILES},,
"C8,C11,C14,C17",4,47n,,,,,${EXCLUDE_FROM_POS_FILES},,
"C9,C13,C16,C19",4,5.6n,,,,,${EXCLUDE_FROM_POS_FILES},,
"C10,C12,C15,C18,C35",5,1n,,,,,${EXCLUDE_FROM_POS_FILES},,
"C20,C22",2,2.2p,,,,,${EXCLUDE_FROM_POS_FILES},,
C21,1,300n,,,,,${EXCLUDE_FROM_POS_FILES},,
"C23,C24,C25,C26,C27,C28,C29,C30",8,10p,,,,,${EXCLUDE_FROM_POS_FILES},,
C32,1,10n,,,,,${EXCLUDE_FROM_POS_FILES},,
C34,1,100n,,,,,${EXCLUDE_FROM_POS_FILES},,
"D1,D2",2,P6KE13CA,,,,,${EXCLUDE_FROM_POS_FILES},P6KE13CA:DIOAD1300W80L670D310,
"D3,D4,D5,D6,D7,D8,D9",7,LED,,,,,${EXCLUDE_FROM_POS_FILES},,
dcdciso1,1,RO-053.3S_HP,,,,,${EXCLUDE_FROM_POS_FILES},RO-053.3S_HP:CONV_RO-053.3S_HP,
digildo1,1,AMS1117-3.3,,,,,${EXCLUDE_FROM_POS_FILES},AMS1117-3.3:SOT229P700X180-4N,
funcopamp1,1,NE5532DR,,,,,${EXCLUDE_FROM_POS_FILES},NE5532DR:SOIC127P599X175-8N,
J1,1,"USB_A , sym and ftprnt have to chg to double usb",,,,,${EXCLUDE_FROM_POS_FILES},,
"J2,J3,J4,J5",4,Conn_Coaxial (shriniwas comp),,,,,${EXCLUDE_FROM_POS_FILES},,
J6,1,Conn_ARM_JTAG_SWD_10,,,,,${EXCLUDE_FROM_POS_FILES},,http://infocenter.arm.com/help/topic/com.arm.doc.ddi0314h/DDI0314H_coresight_components_trm.pdf
J8,1,Conn_01x20,,,,,${EXCLUDE_FROM_POS_FILES},,
L1,1,6.8u,,,,,${EXCLUDE_FROM_POS_FILES},,
probopamp1,1,TLV9064IPWT,,,,,${EXCLUDE_FROM_POS_FILES},TLV9064IPWT:SOP65P640X120-14N,
pwmoppamp1,1,TLV9054IPWR,,,,,${EXCLUDE_FROM_POS_FILES},U_TSSOP_PW_TEX,https://www.ti.com/lit/gpn/tlv9054
"R1,R15,R21,R40,R41,R42,R43,R44,R45,R49",10,R,,,,,${EXCLUDE_FROM_POS_FILES},,
"R2,R7,R10,R13",4,71.5k,,,,,${EXCLUDE_FROM_POS_FILES},,
"R3,R6,R9,R12",4,56.2k,,,,,${EXCLUDE_FROM_POS_FILES},,
"R4,R5,R8,R11",4,4.42k,,,,,${EXCLUDE_FROM_POS_FILES},,
"R14,R16,R29,R37,R47,R48",6,10k,,,,,${EXCLUDE_FROM_POS_FILES},,
"R17,R18",2,3k,,,,,${EXCLUDE_FROM_POS_FILES},,
"R19,R20,R22,R23,R24,R25,R27,R30,R33,R35,R38,R39,R50,R51,R52,R53,R54,R55",18,1k,,,,,${EXCLUDE_FROM_POS_FILES},,
"R26,R28,R36",3,2k,,,,,${EXCLUDE_FROM_POS_FILES},,
"R31,R32",2,1K,,,,,${EXCLUDE_FROM_POS_FILES},,
R34,1,2K,,,,,${EXCLUDE_FROM_POS_FILES},,
R46,1,1M,,,,,${EXCLUDE_FROM_POS_FILES},,
SW1,1,SW_SPDT,,,,,${EXCLUDE_FROM_POS_FILES},,
"U1,U2",2,ADG708BRUZ,,,,,${EXCLUDE_FROM_POS_FILES},ADG708BRUZ:TSSOP16,
U3,2,STM32G431C6Tx,,,,,${EXCLUDE_FROM_POS_FILES},Package_QFP:LQFP-48_7x7mm_P0.5mm,https://www.st.com/resource/en/datasheet/stm32g431c6.pdf
