"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Exclude from Simulation","Exclude from Position Files","Footprint","Datasheet"
"anlgLDO1","1","LP5907MFX-3.3_NOPB","","","","","${EXCLUDE_FROM_POS_FILES}","analogLDO:SOT95P280X145-5N",""
"C1,C2","2","4.7u","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C3","1","10u","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C4,C5,C6,C7,C31,C33","6","1u","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C35,C36,C37,C38,C39","17","1n","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C20,C22","2","2.2p","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C21,C34,C40,C41","4","100n","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C23,C29","2","820p","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C24,C25,C26,C27,C28,C30","6","100p","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C32","1","10n","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"D1,D2","2","P6KE13CA","","","","","${EXCLUDE_FROM_POS_FILES}","TVSdiode:DIOAD1300W80L670D310",""
"D3,D4,D5,D6,D7,D8,D9","7","LED","","","","","${EXCLUDE_FROM_POS_FILES}","LED_SMD:LED_1206_3216Metric",""
"dcdciso1","1","RO-053.3S_HP","","","","","${EXCLUDE_FROM_POS_FILES}","DCDCisolator:CONV_RO-053.3S_HP",""
"digildo1","1","AMS1117-3.3","","","","","${EXCLUDE_FROM_POS_FILES}","digiLDO:SOT229P700X180-4N",""
"funcopamp1","1","NE5532DR","","","","","${EXCLUDE_FROM_POS_FILES}","FuncOPAMP:SOIC127P599X175-8N",""
"J1","1","Conn_01x05","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"J2,J3,J4,J5","4","Conn_Coaxial","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal",""
"J7","1","USB_A_Stacked","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_USB:USB_A_CUI_UJ2-ADH-TH_Horizontal_Stacked",""
"J8,J9","2","Conn_01x20","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical",""
"L1","1","6.8u","","","","","${EXCLUDE_FROM_POS_FILES}","Inductor_THT:L_Axial_L11.0mm_D4.5mm_P15.24mm_Horizontal_Fastron_MECC",""
"probopamp1","1","TLV9064IPWT","","","","","${EXCLUDE_FROM_POS_FILES}","probingopamp:SOP65P640X120-14N",""
"pwmoppamp1","1","TLV9054IPWR","","","","","${EXCLUDE_FROM_POS_FILES}","pwmopamp:U_TSSOP_PW_TEX-M","https://www.ti.com/lit/gpn/tlv9054"
"R1","1","100","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R29,R37,R47,R48,R56","18","10k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R15,R19,R20,R21,R22,R23,R24,R25,R27,R30,R33,R35,R38,R39,R44,R45,R49,R50,R51,R52,R53,R54,R55","23","1k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R17,R18","2","3k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R26,R28,R36,R40,R41,R42,R43","7","2k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R31,R32","2","1K","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R34","1","2K","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R46","1","1M","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"SW1,SW2","2","SW_SPDT","","","","","${EXCLUDE_FROM_POS_FILES}","Slide_switch:SS-12F17_1P2T",""
"U1,U2","2","ADG708BRUZ","","","","","${EXCLUDE_FROM_POS_FILES}","Analog_mux:TSSOP16",""
"U3","1","STM32G431C6Tx","","","","","${EXCLUDE_FROM_POS_FILES}","Package_QFP:LQFP-48_7x7mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32g431c6.pdf"
